product_brand,revenue,gross_product_profit,quantity_sold,products,gross_margin_pct,revenue_share_pct
Hermanos,56659.48,33167.27,24682,44,58.53790045372812,3.2109939821136138
Tell Tale,51561.22,29925.59,23801,44,58.03894865171926,2.922066477320937
Ebony,49727.46,29749.45,23492,44,59.82499407771883,2.818144021191077
Tri-State,49347.75,29064.76,23400,44,58.89784235350143,2.796625176949154
High Top,47200.53,28502.83,22040,44,60.38667362421567,2.674938382466148
Nationeel,45384.82,27446.16,19959,36,60.47431718358693,2.5720388520916457
Horatio,43787.75,25589.28,19205,36,58.43935803963437,2.4815300412269115
Best Choice,42738.02,25901.32,18553,36,60.60486658015509,2.422039966258978
Fast,40532.84,24746.78,19118,36,61.05365427145002,2.2970684750014283
Fort West,40061.03,23951.11,18869,36,59.78655566269764,2.2703301591767686
High Quality,40015.04,24007.67,16658,32,59.996616272281614,2.26772382369262
Red Wing,39792.73,23623.72,17816,32,59.36692456134575,2.2551251187245605
Denny,39696.15,23049.58,16254,32,58.0650264572257,2.2496517575360615
Big Time,39344.18,23710.27,17959,31,60.26372896829976,2.2297049886655294
Cormorant,36579.909999999996,22502.22,16483,32,61.515241562923485,2.0730488680139243
Carrington,36065.67,21467.59,17126,31,59.523613452904115,2.043905968266837
Imagine,35344.46,21741.7,16277,31,61.51374218194309,2.003033708764276
Sunset,34392.68,20802.99,17957,32,60.48667914218956,1.9490946353330323
Golden,33048.73,19403.25,16128,31,58.711030650799586,1.8729305871938402
Super,32312.66,19600.2,15748,29,60.6579588309969,1.831216184936453
BBB Best,31199.37,19374.93,16395,29,62.100388565538346,1.768124051186774
CDR,30506.5,18007.91,13962,28,59.029747758674375,1.7288578701278048
Plato,29114.13,18502.64,15357,29,63.55209652495197,1.6499497740620532
PigTail,28571.73,17338.44,15992,31,60.68389978485727,1.6192109967930344
Bravo,27659.06,16321.52,11401,22,59.00966988755222,1.5674883569513762
Landslide,27265.489999999998,15986.58,15408,29,58.63301924887468,1.5451840417416274
Hilltop,26644.39,15719.19,10884,19,58.9962464894111,1.5099851948356768
Carlson,24990.35,15266.33,11433,20,61.0889003155218,1.4162477922655297
Pleasant,24865.88,14965.64,11711,22,60.18544286387611,1.4091938549375895
Blue Label,24820.24,14737.44,11236,22,59.37670223978495,1.4066073545788913
Gorilla,23971.2,13930.11,10119,20,58.11185923107729,1.358490740544069
Just Right,23932.12,14248.77,12112,22,59.53826907102254,1.356276007108093
Even Better,23126.1,13776.02,10910,20,59.569144819057264,1.3105974133500278
Club,22968.82,13181.07,9910,20,57.386796535477224,1.3016840746906044
Better,21577.4,13192.66,12451,22,61.14110133751054,1.2228298168225034
Booker,21457.25,13023.52,10664,20,60.69519626233557,1.2160207016144047
