table,column,pandas_dtype,rows,missing_count,missing_rate_pct,distinct_count,min_value,max_value
calendar,date,object,730,0,0.0,730,,
customers,customer_id,int64,10281,0,0.0,10281,1,10281
customers,customer_acct_num,int64,10281,0,0.0,10281,10013550500,99961032867
customers,first_name,object,10281,0,0.0,2300,,
customers,last_name,object,10281,1,0.0097,5574,,
customers,customer_address,object,10281,0,0.0,10264,,
customers,customer_city,object,10281,0,0.0,108,,
customers,customer_state_province,object,10281,0,0.0,13,,
customers,customer_postal_code,int64,10281,0,0.0,9841,1374,99993
customers,customer_country,object,10281,0,0.0,3,,
customers,birthdate,object,10281,0,0.0,8149,,
customers,marital_status,object,10281,0,0.0,2,,
customers,yearly_income,object,10281,0,0.0,8,,
customers,gender,object,10281,0,0.0,2,,
customers,total_children,int64,10281,0,0.0,6,0,5
customers,num_children_at_home,int64,10281,0,0.0,6,0,5
customers,education,object,10281,0,0.0,5,,
customers,acct_open_date,object,10281,0,0.0,1648,,
customers,member_card,object,10281,0,0.0,4,,
customers,occupation,object,10281,0,0.0,5,,
customers,homeowner,object,10281,0,0.0,2,,
products,product_id,int64,1560,0,0.0,1560,1,1560
products,product_brand,object,1560,0,0.0,111,,
products,product_name,object,1560,0,0.0,1560,,
products,product_sku,int64,1560,0,0.0,1560,10031033158,99983676075
products,product_retail_price,float64,1560,0,0.0,315,0.5,3.98
products,product_cost,float64,1560,0,0.0,173,0.16,1.97
products,product_weight,float64,1560,0,0.0,376,6.0,21.9
products,recyclable,float64,1560,687,44.0385,1,1.0,1.0
products,low_fat,float64,1560,1008,64.6154,1,1.0,1.0
regions,region_id,int64,109,0,0.0,109,1,109
regions,sales_district,object,109,0,0.0,22,,
regions,sales_region,object,109,0,0.0,7,,
returns,return_date,object,7087,0,0.0,639,,
returns,product_id,int64,7087,0,0.0,1539,1,1559
returns,store_id,int64,7087,0,0.0,20,1,24
returns,quantity,int64,7087,0,0.0,2,1,2
stores,store_id,int64,24,0,0.0,24,1,24
stores,region_id,int64,24,0,0.0,23,1,106
stores,store_type,object,24,0,0.0,5,,
stores,store_name,object,24,0,0.0,24,,
stores,store_street_address,object,24,0,0.0,24,,
stores,store_city,object,24,0,0.0,23,,
stores,store_state,object,24,0,0.0,10,,
stores,store_country,object,24,0,0.0,3,,
stores,store_phone,object,24,0,0.0,24,,
stores,first_opened_date,object,24,0,0.0,24,,
stores,last_remodel_date,object,24,0,0.0,24,,
stores,total_sqft,int64,24,0,0.0,24,20319,39696
stores,grocery_sqft,int64,24,0,0.0,24,13305,30351
transactions,transaction_date,object,269720,0,0.0,673,,
transactions,stock_date,object,269720,0,0.0,735,,
transactions,product_id,int64,269720,0,0.0,1559,1,1559
transactions,customer_id,int64,269720,0,0.0,8842,3,10281
transactions,store_id,int64,269720,0,0.0,24,1,24
transactions,quantity,int64,269720,0,0.0,6,1,6
transactions,source_year,int64,269720,0,0.0,2,1997,1998
