customer_key,revenue,gross_product_profit,quantity_sold,shopping_days,customer_rank,customer_percentile,cumulative_revenue_share_pct
5295,2235.43,1340.56,1021,52,1,0.011309658448314861,0.12668581281431163
4727,2121.31,1263.29,1014,43,2,0.022619316896629722,0.24690424129613725
4676,1995.21,1199.15,900,58,3,0.03392897534494459,0.359976357437212
4021,1973.79,1177.74,973,50,4,0.045238633793259445,0.47183456390073814
8452,1955.25,1167.06,882,45,5,0.0565482922415743,0.5826420754332767
1720,1907.9,1134.56,898,48,6,0.06785795068988917,0.6907661778513463
1297,1826.31,1086.72,891,50,7,0.07916760913820402,0.7942664291680529
4391,1776.27,1050.62,901,42,8,0.09047726758651889,0.8949308242632594
1787,1763.58,1046.14,814,45,9,0.10178692603483375,0.9948760543814307
5174,1750.14,1050.01,801,48,10,0.1130965844831486,1.0940596156823166
4094,1738.93,1046.61,795,43,11,0.12440624293146346,1.1926078862509282
5466,1716.15,1010.54,841,30,12,0.13571590137977835,1.2898651735116702
5542,1713.75,1026.53,782,44,13,0.14702555982809318,1.3869864484836114
4397,1664.45,992.5,801,52,14,0.15833521827640804,1.481313804356433
7862,1630.1200000000001,974.63,796,44,15,0.16964487672472292,1.5736956177815304
4767,1628.36,990.29,757,43,16,0.18095453517303778,1.6659776888615072
1770,1598.53,956.11,760,37,17,0.19226419362135264,1.756569240535262
5592,1585.12,939.64,735,43,18,0.2035738520696675,1.846400823545341
4386,1583.94,934.99,753,37,19,0.21488351051798235,1.9361655338467603
7702,1560.61,915.93,706,40,20,0.2261931689662972,2.0246080913574596
1850,1547.24,926.59,707,42,21,0.23750282741461207,2.1122929470759635
4026,1538.74,930.76,762,33,22,0.24881248586292692,2.199496092604964
7633,1528.41,905.4,713,34,23,0.2601221443112418,2.286113818574251
8511,1509.47,901.51,698,40,24,0.2714318027595567,2.3716581808977497
5432,1500.32,899.73,735,41,25,0.2827414612078715,2.4566839963701947
7836,1494.46,893.76,683,32,26,0.29405111965618635,2.5413777151708175
2019,1486.6,884.63,693,42,27,0.30536077810450124,2.6256259937256172
4226,1484.71,885.18,714,29,28,0.31667043655281607,2.709767162602986
4579,1483.09,879.99,685,36,29,0.32798009500113096,2.793816523185414
6307,1481.1200000000001,883.35,678,39,30,0.33928975344944584,2.877754240347451
7234,1471.61,876.5,684,39,31,0.35059941189776067,2.9611530088151152
5374,1459.61,868.32,719,45,32,0.36190907034607556,3.043871715838774
4620,1446.36,866.72,681,39,33,0.3732187287943904,3.1258395216846773
1942,1444.01,866.1,724,36,34,0.38452838724270527,3.20767414883113
1259,1436.54,859.83,699,37,35,0.39583804569102016,3.2890854377286893
8351,1435.9,849.08,700,42,36,0.407147704139335,3.370460456682568
4175,1429.23,848.68,672,44,37,0.4184573625876499,3.4514574748171554
4953,1425.2,857.11,702,34,38,0.4297670210359647,3.5322261056501296
997,1424.34,850.45,668,34,39,0.4410766794842796,3.612945998746284
7472,1423.59,840.81,699,41,40,0.4523863379325944,3.6936233880021883
4853,1420.56,848.83,672,34,41,0.4636959963809093,3.774129061743481
4925,1419.32,849.14,668,43,42,0.47500565482922413,3.8545644624688937
