year,month_number,month_name,year_month,revenue,gross_product_profit,quantity_sold,active_customers,active_stores,gross_margin_pct
1997,1,January,1997-01,45539.69,27173.83,21628,1396,13,59.670652127847156
1997,2,February,1997-02,44058.79,26265.96,20957,1331,13,59.61570891983189
1997,3,March,1997-03,50029.87,29827.04,23706,1478,13,59.61846392964843
1997,4,April,1997-04,42878.25,25568.09,20179,1317,13,59.62950913341846
1997,5,May,1997-05,44456.29,26497.52,21081,1371,13,59.60353416805586
1997,6,June,1997-06,45331.73,27059.81,21350,1336,13,59.692868549247954
1997,7,July,1997-07,50246.88,30005.09,23763,1462,13,59.71532958862322
1997,8,August,1997-08,46199.04,27522.96,21697,1408,13,59.57474441027346
1997,9,September,1997-09,43825.97,26159.69,20388,1315,13,59.689928140780445
1997,10,October,1997-10,42342.27,25209.98,19958,1293,13,59.53856512652723
1997,11,November,1997-11,53363.71,31837.2,25270,1546,13,59.66076946299273
1997,12,December,1997-12,56965.64,33998.31,26796,1694,13,59.682134704358624
1998,1,January,1998-01,98155.28,58689.62,46313,2258,24,59.7926265403145
1998,2,February,1998-02,94498.0,56451.49,44431,2237,24,59.73829075747634
1998,3,March,1998-03,98219.9,58612.1,46334,2317,24,59.67436334184825
1998,4,April,1998-04,94776.14,56504.88,45049,2191,24,59.61930924808713
1998,5,May,1998-05,95183.81,56917.9,45085,2259,24,59.79787949232123
1998,6,June,1998-06,97050.04,57937.76,45611,2242,24,59.69885226219381
1998,7,July,1998-07,98943.44,59016.31,46671,2293,24,59.64651117850763
1998,8,August,1998-08,94718.51,56462.12,44777,2220,24,59.61043939563662
1998,9,September,1998-09,101378.6,60480.02,47964,2317,24,59.657580593932046
1998,10,October,1998-10,92435.91,55066.88,43945,2178,24,59.57303822724307
1998,11,November,1998-11,113787.84,67871.78,53807,2700,24,59.647656550998775
1998,12,December,1998-12,120160.84,71682.44,56729,2689,24,59.6554085340948
