product_key,quantity_sold,return_quantity,product_brand,product_name,return_rate_pct
574,478,14.0,Shady Lake,Shady Lake Spaghetti,2.928870292887029
1432,601,17.0,Hermanos,Hermanos Red Pepper,2.828618968386023
581,538,15.0,Walrus,Walrus Merlot Wine,2.7881040892193307
564,467,13.0,Atomic,Atomic Tasty Candy Bar,2.7837259100642395
1461,554,15.0,Hermanos,Hermanos Oranges,2.707581227436823
522,534,14.0,Tell Tale,Tell Tale Walnuts,2.6217228464419478
81,496,13.0,Blue Medal,Blue Medal Egg Substitute,2.620967741935484
497,572,14.0,Tell Tale,Tell Tale Cauliflower,2.4475524475524475
833,550,13.0,Ebony,Ebony Walnuts,2.3636363636363638
1179,555,13.0,Horatio,Horatio Sesame Crackers,2.3423423423423424
238,518,12.0,Best Choice,Best Choice Beef Jerky,2.3166023166023164
1169,519,12.0,Horatio,Horatio Low Fat Popcorn,2.312138728323699
469,563,13.0,Red Wing,Red Wing Silver Cleaner,2.3090586145648313
307,610,14.0,Super,Super Creamy Peanut Butter,2.2950819672131146
710,523,12.0,Imagine,Imagine Blueberry Waffles,2.294455066921606
1164,482,11.0,Horatio,Horatio Lemon Cookies,2.2821576763485476
102,526,12.0,Golden,Golden Lime Popsicles,2.2813688212927756
1487,578,13.0,Fort West,Fort West Beef Jerky,2.249134948096886
169,451,10.0,Robust,Robust Monthly Home Magazine,2.2172949002217295
180,498,11.0,High Top,High Top Shitake Mushrooms,2.208835341365462
887,640,14.0,Monarch,Monarch Rice Medly,2.1875
1157,505,11.0,Horatio,Horatio Corn Chips,2.178217821782178
477,599,13.0,Dollar,Dollar Monthly Sports Magazine,2.1702838063439067
1230,553,12.0,Plato,Plato Corn Oil,2.1699819168173597
1039,554,12.0,PigTail,PigTail Home Style French Fries,2.166064981949458
1147,558,12.0,Tri-State,Tri-State Honey Dew,2.1505376344086025
854,559,12.0,Nationeel,Nationeel Salsa Dip,2.146690518783542
866,561,12.0,Nationeel,Nationeel Apple Fruit Roll,2.13903743315508
1395,515,11.0,Sunset,Sunset AA-Size Batteries,2.1359223300970873
1337,610,13.0,Carrington,Carrington Blueberry Waffles,2.1311475409836063
1178,521,11.0,Horatio,Horatio Low Fat Chips,2.111324376199616
1243,571,12.0,Plato,Plato Apple Jam,2.1015761821366024
396,524,11.0,Big Time,Big Time Frozen Pancakes,2.099236641221374
1201,527,11.0,Colossal,Colossal Spaghetti,2.0872865275142316
310,576,12.0,Super,Super Apple Preserves,2.083333333333333
177,481,10.0,High Top,High Top Prepared Salad,2.079002079002079
466,531,11.0,Red Wing,Red Wing Frying Pan,2.0715630885122414
1073,532,11.0,High Quality,High Quality Plastic Knives,2.0676691729323307
620,484,10.0,Landslide,Landslide Extra Chunky Peanut Butter,2.066115702479339
658,539,11.0,Bravo,Bravo Fancy Canned Sardines,2.0408163265306123
993,588,12.0,Even Better,Even Better Large Curd Cottage Cheese,2.0408163265306123
1041,590,12.0,PigTail,PigTail Ice Cream,2.0338983050847457
47,493,10.0,Club,Club Muenster Cheese,2.028397565922921
1158,494,10.0,Horatio,Horatio Low Fat BBQ Chips,2.0242914979757085
462,544,11.0,Red Wing,Red Wing Toilet Paper,2.0220588235294117
416,594,12.0,Big Time,Big Time Frozen Cauliflower,2.0202020202020203
3,447,9.0,Washington,Washington Strawberry Drink,2.013422818791946
343,498,10.0,Better,Better Large Canned Shrimp,2.0080321285140563
558,549,11.0,Fast,Fast Grape Fruit Roll,2.0036429872495445
397,500,10.0,Big Time,Big Time Low Fat French Fries,2.0
1083,552,11.0,High Quality,High Quality 25 Watt Lightbulb,1.9927536231884055
1406,503,10.0,Sunset,Sunset Bees Wax Candles,1.9880715705765408
195,504,10.0,High Top,High Top Almonds,1.984126984126984
1212,556,11.0,Sphinx,Sphinx Pumpernickel Bread,1.9784172661870503
545,558,11.0,Fast,Fast Salted Pretzels,1.971326164874552
1181,510,10.0,Horatio,Horatio Dried Apples,1.9607843137254901
687,510,10.0,Cutting Edge,Cutting Edge Beef Bologna,1.9607843137254901
1211,563,11.0,Portsmouth,Portsmouth Light Beer,1.9538188277087036
1321,468,9.0,Lake,Lake Corned Beef,1.9230769230769231
1167,468,9.0,Horatio,Horatio Buttered Popcorn,1.9230769230769231
159,523,10.0,Denny,Denny Copper Pot Scrubber,1.9120458891013385
936,524,10.0,BBB Best,BBB Best Extra Chunky Peanut Butter,1.9083969465648856
98,525,10.0,Golden,Golden Beef TV Dinner,1.9047619047619049
1165,580,11.0,Horatio,Horatio Graham Crackers,1.896551724137931
1519,477,9.0,Top Measure,Top Measure Merlot Wine,1.8867924528301887
76,533,10.0,Red Spade,Red Spade Sliced Chicken,1.876172607879925
782,480,9.0,Cormorant,Cormorant Economy Toilet Brush,1.875
1098,481,9.0,High Quality,High Quality Economy Toilet Brush,1.8711018711018712
181,481,9.0,High Top,High Top Lettuce,1.8711018711018712
1327,482,9.0,Giant,Giant Large Brown Eggs,1.8672199170124482
32,482,9.0,Blue Label,Blue Label Large Canned Shrimp,1.8672199170124482
1072,484,9.0,High Quality,High Quality Plastic Spoons,1.859504132231405
1241,540,10.0,Plato,Plato Apple Jelly,1.8518518518518516
48,541,10.0,Club,Club String Cheese,1.8484288354898337
1306,490,9.0,Booker,Booker Buttermilk,1.8367346938775513
982,546,10.0,Even Better,Even Better Low Fat Sour Cream,1.8315018315018317
1102,546,10.0,Genteel,Genteel Extra Lean Hamburger,1.8315018315018317
988,602,11.0,Even Better,Even Better Havarti Cheese,1.8272425249169437
1137,495,9.0,Tri-State,Tri-State Lemons,1.8181818181818181
316,551,10.0,Excellent,Excellent Diet Soda,1.8148820326678767
126,551,10.0,Faux Products,Faux Products HCL Nasal Spray,1.8148820326678767
1458,496,9.0,Hermanos,Hermanos Honey Dew,1.8145161290322582
342,607,11.0,Better,Better Canned Tuna in Oil,1.8121911037891267
495,498,9.0,Tell Tale,Tell Tale Garlic,1.8072289156626504
29,554,10.0,Blue Label,Blue Label Chicken Ramen Soup,1.8050541516245486
1362,665,12.0,Hilltop,Hilltop Silky Smooth Hair Conditioner,1.8045112781954888
120,499,9.0,Faux Products,Faux Products Angled Toothbrush,1.8036072144288577
471,555,10.0,Red Wing,Red Wing Economy Toilet Brush,1.8018018018018018
163,555,10.0,Denny,Denny Screw Driver,1.8018018018018018
1232,557,10.0,Plato,Plato Canola Oil,1.7953321364452424
265,558,10.0,Medalist,Medalist Rice Medly,1.7921146953405016
509,505,9.0,Tell Tale,Tell Tale Red Delcious Apples,1.782178217821782
1464,449,8.0,Amigo,Amigo Lox,1.7817371937639197
1161,618,11.0,Horatio,Horatio Fudge Cookies,1.779935275080906
767,562,10.0,Cormorant,Cormorant 25 Watt Lightbulb,1.7793594306049825
40,450,8.0,King,King Rosy Sunglasses,1.7777777777777777
759,508,9.0,Cormorant,Cormorant 100 Watt Lightbulb,1.7716535433070866
1246,508,9.0,Plato,Plato Strawberry Preserves,1.7716535433070866
789,508,9.0,Excel,Excel Monthly Auto Magazine,1.7716535433070866
678,511,9.0,Gorilla,Gorilla 2% Milk,1.761252446183953
730,569,10.0,Imagine,Imagine Frozen Peas,1.7574692442882252
1106,513,9.0,Mighty Good,Mighty Good Monthly Computer Magazine,1.7543859649122806
610,572,10.0,Landslide,Landslide Low Fat Apple Butter,1.7482517482517483
1498,516,9.0,Fort West,Fort West Raisins,1.744186046511628
190,516,9.0,High Top,High Top Dried Mushrooms,1.744186046511628
1546,517,9.0,CDR,CDR Strawberry Jelly,1.7408123791102514
623,575,10.0,Token,Token Berry Juice,1.7391304347826086
105,521,9.0,Golden,Golden Frozen Cauliflower,1.727447216890595
856,581,10.0,Nationeel,Nationeel Salted Pretzels,1.7211703958691909
1285,523,9.0,Pleasant,Pleasant Fancy Canned Sardines,1.7208413001912046
82,523,9.0,Golden,Golden Low Fat Waffles,1.7208413001912046
1484,524,9.0,Fort West,Fort West Cheese Dip,1.717557251908397
1375,525,9.0,Hilltop,Hilltop HCL Nasal Spray,1.7142857142857144
1273,467,8.0,Pleasant,Pleasant Regular Ramen Soup,1.7130620985010707
460,586,10.0,Red Wing,Red Wing Soft Napkins,1.7064846416382253
734,469,8.0,Imagine,Imagine Lemon Popsicles,1.7057569296375266
9,469,8.0,Washington,Washington Cranberry Juice,1.7057569296375266
1348,528,9.0,Carrington,Carrington Pancake Mix,1.7045454545454544
1372,587,10.0,Hilltop,Hilltop Buffered Aspirin,1.7035775127768313
1357,587,10.0,Carrington,Carrington Frozen Peas,1.7035775127768313
1214,529,9.0,Sphinx,Sphinx Rye Bread,1.7013232514177694
1053,529,9.0,Bird Call,Bird Call Whitening Toothpast,1.7013232514177694
1503,529,9.0,Gulf Coast,Gulf Coast Mint Chocolate Bar,1.7013232514177694
1266,531,9.0,Pleasant,Pleasant Creamed Corn,1.694915254237288
986,531,9.0,Even Better,Even Better String Cheese,1.694915254237288
1155,532,9.0,Horatio,Horatio Low Fat Cookies,1.6917293233082706
547,592,10.0,Fast,Fast Fondue Mix,1.6891891891891893
