store_key,store_name,store_type,store_country,sales_region,total_sqft,grocery_sqft,is_same_store_comparable,revenue,gross_product_profit,quantity_sold,active_customers,active_days,gross_margin_pct,revenue_per_sqft,profit_per_sqft
1,Store 1,Supermarket,Mexico,Mexico West,23593,17475,False,56396.78,33687.89,26679,183,60,59.73371174737281,2.390403085661001,1.4278764887890476
2,Store 2,Small Grocery,USA,North West,28206,22271,True,9519.13,5672.25,4518,261,120,59.587903516392785,0.3374859958873998,0.20110082961072112
3,Store 3,Supermarket,USA,North West,39696,24390,True,110877.88,66055.01,51914,179,120,59.57456076901902,2.7931751309955666,1.6640218158000806
4,Store 4,Gourmet Supermarket,Mexico,Mexico Central,23759,16844,False,54865.49,32679.24,26024,90,60,59.5624681379862,2.309250810219285,1.37544677806305
5,Store 5,Small Grocery,Mexico,Mexico West,24597,15012,False,4903.2,2935.68,2401,100,60,59.87273617229564,0.19934138309549945,0.11935114038297352
6,Store 6,Gourmet Supermarket,USA,South West,23688,15337,True,98114.78,58553.21,46129,1445,120,59.67827681007897,4.141961330631544,2.471851148260723
7,Store 7,Supermarket,USA,South West,23598,14210,True,111311.54,66424.49,52475,1470,120,59.67439674269174,4.716990422917196,2.8148355792863806
8,Store 8,Deluxe Supermarket,Mexico,Mexico South,30797,20141,False,87253.65,51991.14,40994,98,60,59.58620642231013,2.833186674026691,1.6881884599149268
9,Store 9,Mid-Size Grocery,Mexico,Mexico Central,36509,22450,False,25371.42,15113.31,11910,381,60,59.56824647575895,0.6949360431674381,0.41396121504286615
10,Store 10,Supermarket,Mexico,Mexico Central,34791,26354,False,57835.36,34521.11,27334,92,60,59.68858843448022,1.6623655543100226,0.9922425339886752
11,Store 11,Supermarket,USA,North West,20319,16232,True,115334.62,68857.27,54526,575,120,59.70216921857462,5.676195678921206,3.3888119494069593
12,Store 12,Deluxe Supermarket,Mexico,Mexico Central,30584,21938,False,87623.61,52257.3,41808,99,60,59.638378286400204,2.865014713575726,1.7086483128433168
13,Store 13,Deluxe Supermarket,USA,North West,27694,18670,True,170398.94,101714.65,80762,474,120,59.69206733328271,6.15291904383621,3.672804578609085
14,Store 14,Small Grocery,USA,Central West,22478,15321,True,9324.94,5569.91,4436,518,120,59.731322668027886,0.41484740635287837,0.2477938428685826
15,Store 15,Supermarket,USA,North West,21215,13305,True,115981.46,69148.47,54865,1038,120,59.620278965276,5.466955456045251,3.2594140938015554
16,Store 16,Supermarket,USA,North West,30268,22063,True,110485.16,65911.35,52489,84,120,59.656292302061196,3.650229945817365,2.1775918461741774
17,Store 17,Deluxe Supermarket,USA,North West,33858,22123,True,157695.9,94087.96,74347,279,120,59.66417643071254,4.6575668970405815,2.7788989308287557
18,Store 18,Mid-Size Grocery,Mexico,Mexico Central,38382,30351,False,23173.91,13848.49,11080,99,60,59.75897032481786,0.6037702568912511,0.36080688864571936
19,Store 19,Deluxe Supermarket,Canada,Canada West,23112,16418,False,85262.31,50954.98,40152,891,60,59.762607886180895,3.6890926791277256,2.2046979923849084
20,Store 20,Mid-Size Grocery,Canada,Canada West,34452,27463,False,22412.03,13386.02,10600,489,60,59.72694129001256,0.6505291419946592,0.38854115871357253
21,Store 21,Deluxe Supermarket,Mexico,Mexico Central,32717,25453,False,81492.24,48653.16,38608,442,60,59.70281342125337,2.4908225081761777,1.4870911147110066
22,Store 22,Small Grocery,USA,North West,35918,24837,True,9956.85,5946.14,4644,98,120,59.71908786413373,0.2772105907901331,0.1655476362826438
23,Store 23,Mid-Size Grocery,USA,North West,29182,19283,True,47576.78,28390.19,22377,95,120,59.672365384963,1.6303467891165786,0.972866493043657
24,Store 24,Supermarket,USA,South West,27372,18293,True,111378.46,66459.56,52417,1146,120,59.67002955508632,4.0690654683618295,2.428012567587315
