store_key,store_name,store_type,store_country,sales_region,total_sqft,grocery_sqft,revenue,gross_product_profit,quantity_sold,active_customers,active_days,gross_margin_pct,revenue_per_sqft,profit_per_sqft
1,Store 1,Supermarket,Mexico,Mexico West,23593,17475,56396.78,33687.89,26679,183,60,59.73371174737281,2.390403085661001,1.4278764887890476
2,Store 2,Small Grocery,USA,North West,28206,22271,4779.9,2847.74,2281,189,60,59.57739701667399,0.1694639438417358,0.10096220662270439
3,Store 3,Supermarket,USA,North West,39696,24390,57981.58,34532.22,27338,179,60,59.557224897976226,1.4606403667875858,0.8699168681983072
4,Store 4,Gourmet Supermarket,Mexico,Mexico Central,23759,16844,54865.49,32679.24,26024,90,60,59.5624681379862,2.309250810219285,1.37544677806305
5,Store 5,Small Grocery,Mexico,Mexico West,24597,15012,4903.2,2935.68,2401,100,60,59.87273617229564,0.19934138309549945,0.11935114038297352
6,Store 6,Gourmet Supermarket,USA,South West,23688,15337,52364.54,31261.39,24796,1085,60,59.69954094889404,2.210593549476528,1.3197142012833503
7,Store 7,Supermarket,USA,South West,23598,14210,56766.26,33871.59,26812,1124,60,59.66852493012574,2.4055538604966524,1.435358504958047
8,Store 8,Deluxe Supermarket,Mexico,Mexico South,30797,20141,87253.65,51991.14,40994,98,60,59.58620642231013,2.833186674026691,1.6881884599149268
9,Store 9,Mid-Size Grocery,Mexico,Mexico Central,36509,22450,25371.42,15113.31,11910,381,60,59.56824647575895,0.6949360431674381,0.41396121504286615
10,Store 10,Supermarket,Mexico,Mexico Central,34791,26354,57835.36,34521.11,27334,92,60,59.68858843448022,1.6623655543100226,0.9922425339886752
11,Store 11,Supermarket,USA,North West,20319,16232,60275.83,35983.05,28447,565,60,59.69731150943919,2.966476204537625,1.7709065406762146
12,Store 12,Deluxe Supermarket,Mexico,Mexico Central,30584,21938,87623.61,52257.3,41808,99,60,59.638378286400204,2.865014713575726,1.7086483128433168
13,Store 13,Deluxe Supermarket,USA,North West,27694,18670,83180.66,49688.6,39182,472,60,59.73576069244941,3.003562504513613,1.7942009099443923
14,Store 14,Small Grocery,USA,Central West,22478,15321,4883.76,2911.67,2319,281,60,59.61943256834898,0.21726844025269154,0.12953421122875702
15,Store 15,Supermarket,USA,North West,21215,13305,63337.39,37798.44,29854,914,60,59.677924840287865,2.9855003535234506,1.7816846570822533
16,Store 16,Supermarket,USA,North West,30268,22063,60850.7,36343.23,28898,84,60,59.725245560034644,2.0103971190696446,1.2007146160962072
17,Store 17,Deluxe Supermarket,USA,North West,33858,22123,82851.94,49445.55,39090,279,60,59.67941124854771,2.4470417626557976,1.4603801169590644
18,Store 18,Mid-Size Grocery,Mexico,Mexico Central,38382,30351,23173.91,13848.49,11080,99,60,59.75897032481786,0.6037702568912511,0.36080688864571936
19,Store 19,Deluxe Supermarket,Canada,Canada West,23112,16418,85262.31,50954.98,40152,891,60,59.762607886180895,3.6890926791277256,2.2046979923849084
20,Store 20,Mid-Size Grocery,Canada,Canada West,34452,27463,22412.03,13386.02,10600,489,60,59.72694129001256,0.6505291419946592,0.38854115871357253
21,Store 21,Deluxe Supermarket,Mexico,Mexico Central,32717,25453,81492.24,48653.16,38608,442,60,59.70281342125337,2.4908225081761777,1.4870911147110066
22,Store 22,Small Grocery,USA,North West,35918,24837,5250.88,3123.69,2441,97,60,59.48888567249681,0.14619076786012586,0.08696725875605546
23,Store 23,Mid-Size Grocery,USA,North West,29182,19283,23247.55,13895.77,10886,95,60,59.77305135379858,0.7966400520869028,0.4761760674388322
24,Store 24,Supermarket,USA,South West,27372,18293,56947.32,33962.04,26782,949,60,59.63764405418903,2.0804953967558086,1.2407584392810171
